Route,Method,requireIdempotencyKey?,Evidence
/api/auth/dev-login,POST,NO,MISSING
/api/auth/logout,POST,NO,MISSING
/api/auth/session,DELETE,NO,MISSING
/api/dashboards,POST,Yes,src\app\api\dashboards\route.ts:88
/api/dev-session,POST,NO,MISSING
/api/inventory/abc-classification/calculate,POST,Yes,src\app\api\inventory\abc-classification\calculate\route.ts:11
/api/inventory/alerts/refresh,POST,Yes,src\app\api\inventory\alerts\refresh\route.ts:11
/api/inventory/assets,POST,Yes,src\app\api\inventory\assets\route.ts:53
/api/inventory/assignment-types,POST,Yes,src\app\api\inventory\assignment-types\route.ts:43
/api/inventory/categories,POST,Yes,src\app\api\inventory\categories\route.ts:82
/api/inventory/cycle-counts,POST,Yes,src\app\api\inventory\cycle-counts\route.ts:77
/api/inventory/items,POST,Yes,src\app\api\inventory\items\route.ts:68
/api/inventory/locations,POST,Yes,src\app\api\inventory\locations\route.ts:59
/api/inventory/location-types,POST,Yes,src\app\api\inventory\location-types\route.ts:49
/api/inventory/purchasing,POST,Yes,src\app\api\inventory\purchasing\route.ts:121
/api/inventory/receiving,POST,Yes,src\app\api\inventory\receiving\route.ts:64
/api/inventory/receiving/draft,POST,Yes,src\app\api\inventory\receiving\draft\route.ts:21
/api/inventory/reservations,POST,Yes,src\app\api\inventory\reservations\route.ts:77
/api/inventory/rfid/bulk-assignment/start,POST,Yes,src\app\api\inventory\rfid\bulk-assignment\start\route.ts:17
/api/inventory/rfid/cycle-counts/submit,POST,Yes,src\app\api\inventory\rfid\cycle-counts\submit\route.ts:17
/api/inventory/rfid/devices,POST,Yes,src\app\api\inventory\rfid\devices\route.ts:49
/api/inventory/rfid/devices/authenticate,POST,Yes,src\app\api\inventory\rfid\devices\authenticate\route.ts:18
/api/inventory/rfid/devices/heartbeat,POST,Yes,src\app\api\inventory\rfid\devices\heartbeat\route.ts:17
/api/inventory/rfid/devices/sync,POST,Yes,src\app\api\inventory\rfid\devices\sync\route.ts:17
/api/inventory/rfid/tags/assign,POST,Yes,src\app\api\inventory\rfid\tags\assign\route.ts:15
/api/inventory/rfid/tags/capture,POST,Yes,src\app\api\inventory\rfid\tags\capture\route.ts:17
/api/inventory/transfers,POST,Yes,src\app\api\inventory\transfers\route.ts:65
/api/inventory/vendor-items,POST,Yes,src\app\api\inventory\vendor-items\route.ts:93
/api/inventory/vendors,POST,Yes,src\app\api\inventory\vendors\route.ts:60
/api/settings/tenant,PUT,Yes,src\app\api\settings\tenant\route.ts:42
/api/supply-chain/receipts,POST,Yes,src\app\api\supply-chain\receipts\route.ts:84
/api/webhooks/core-events,POST,NO,MISSING
/api/widgets/data,POST,Yes,src\app\api\widgets\data\route.ts:10
/api/widgets/layout,PATCH,Yes,src\app\api\widgets\layout\route.ts:10
